               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.020068,             0.02172,          0.00069004,             0.96408,             0.96359,             0.97879,             0.91147,           0.0082936,            0.012213,          0.00020042,             0.00745,             0.00745,             0.00745
                  87,            0.020226,             0.02172,          0.00067904,              0.9601,             0.96326,             0.97652,             0.91086,           0.0082004,            0.012252,          0.00019882,             0.00742,             0.00742,             0.00742
                  88,            0.019662,             0.02168,          0.00068315,             0.96004,             0.96858,             0.97744,             0.91129,           0.0081773,            0.012197,          0.00019858,             0.00739,             0.00739,             0.00739
                  89,            0.019991,            0.021547,          0.00070449,                0.96,             0.96963,             0.97803,              0.9141,           0.0081987,            0.012165,          0.00019946,             0.00736,             0.00736,             0.00736
                  90,            0.019858,            0.021609,          0.00072404,             0.96168,             0.97001,             0.97784,             0.91284,           0.0082258,            0.012162,          0.00019615,             0.00733,             0.00733,             0.00733
                  91,            0.019856,            0.021717,           0.0006939,                0.96,             0.97146,             0.97772,             0.91265,           0.0082403,            0.012142,          0.00019148,              0.0073,              0.0073,              0.0073
                  92,            0.019558,            0.021864,          0.00065437,             0.96018,             0.96884,             0.97851,             0.91478,           0.0082324,            0.012092,          0.00019152,             0.00727,             0.00727,             0.00727
                  93,            0.019705,            0.021796,          0.00065888,             0.96289,             0.96991,             0.97831,             0.91473,           0.0082049,            0.012104,          0.00019317,             0.00724,             0.00724,             0.00724
                  94,            0.019806,            0.021722,          0.00065736,             0.96315,             0.96837,             0.97808,             0.91443,           0.0081492,            0.012058,          0.00019375,             0.00721,             0.00721,             0.00721
                  95,            0.019384,            0.021422,          0.00066205,             0.96275,             0.96864,             0.97892,             0.91458,           0.0081524,            0.012022,          0.00019445,             0.00718,             0.00718,             0.00718
                  96,            0.019412,            0.021351,          0.00066776,             0.96106,             0.96677,             0.97849,             0.91371,           0.0081074,            0.011971,          0.00019244,             0.00715,             0.00715,             0.00715
                  97,            0.019762,            0.021448,          0.00065282,             0.95861,             0.96742,              0.9784,             0.91506,           0.0080569,            0.011914,          0.00019244,             0.00712,             0.00712,             0.00712
                  98,            0.019561,            0.021426,           0.0006749,             0.95868,             0.96786,             0.97811,             0.91624,           0.0080083,             0.01189,          0.00018994,             0.00709,             0.00709,             0.00709
                  99,            0.019302,            0.020986,          0.00066786,              0.9613,             0.97008,             0.97814,             0.91603,           0.0079917,            0.011911,           0.0001932,             0.00706,             0.00706,             0.00706
                 100,            0.019485,            0.021339,          0.00064066,             0.96297,             0.97136,             0.97953,             0.91677,           0.0079707,            0.011906,          0.00019968,             0.00703,             0.00703,             0.00703
                 101,            0.019425,            0.021513,          0.00066197,             0.96312,             0.96909,              0.9779,             0.91566,           0.0079788,            0.011961,          0.00019816,               0.007,               0.007,               0.007
                 102,            0.019473,            0.021441,          0.00066099,              0.9649,             0.96642,             0.97747,             0.91499,           0.0079304,            0.011962,          0.00020068,             0.00697,             0.00697,             0.00697
                 103,            0.019281,            0.021151,          0.00064852,             0.95768,             0.97116,              0.9771,             0.91394,           0.0079634,            0.012009,          0.00019653,             0.00694,             0.00694,             0.00694
                 104,            0.019185,            0.020873,          0.00066027,             0.96071,             0.96933,              0.9772,             0.91391,           0.0079936,            0.011983,          0.00019885,             0.00691,             0.00691,             0.00691
                 105,            0.019192,            0.021282,          0.00062357,             0.96233,             0.96714,             0.97689,             0.91261,           0.0080388,            0.012009,          0.00019688,             0.00688,             0.00688,             0.00688
                 106,            0.019324,            0.020874,          0.00065624,             0.96222,             0.96845,             0.97647,             0.91481,           0.0080341,            0.011994,          0.00019397,             0.00685,             0.00685,             0.00685
                 107,            0.019222,            0.020918,          0.00067507,             0.95967,             0.97038,             0.97639,             0.91404,           0.0080451,               0.012,          0.00019367,             0.00682,             0.00682,             0.00682
                 108,            0.019331,            0.021123,          0.00067311,             0.96147,             0.96956,             0.97626,             0.91499,           0.0080252,            0.012003,          0.00018807,             0.00679,             0.00679,             0.00679
                 109,            0.019244,            0.020832,          0.00068035,             0.96245,             0.96847,             0.97714,             0.91539,           0.0080309,            0.011977,          0.00018287,             0.00676,             0.00676,             0.00676
                 110,            0.019457,            0.021115,          0.00064024,             0.96364,             0.96993,             0.97806,              0.9154,           0.0080562,            0.011972,          0.00017933,             0.00673,             0.00673,             0.00673
                 111,            0.019299,            0.021137,          0.00066406,             0.96396,             0.96821,              0.9779,             0.91583,           0.0080587,            0.011951,          0.00017766,              0.0067,              0.0067,              0.0067
                 112,            0.018848,            0.020839,          0.00066872,             0.96507,             0.96793,             0.97803,             0.91703,           0.0080464,             0.01195,          0.00017959,             0.00667,             0.00667,             0.00667
                 113,            0.019277,            0.021032,          0.00063505,             0.96045,             0.97003,             0.97852,             0.91879,            0.007991,            0.011898,          0.00018019,             0.00664,             0.00664,             0.00664
                 114,            0.019001,            0.020807,          0.00067298,             0.96374,             0.96914,             0.97844,             0.91811,           0.0079638,            0.011879,          0.00018053,             0.00661,             0.00661,             0.00661
                 115,            0.018989,            0.021004,          0.00064703,             0.96118,             0.97309,             0.97874,             0.91833,           0.0079116,            0.011836,          0.00018245,             0.00658,             0.00658,             0.00658
                 116,             0.01898,            0.020797,          0.00063872,             0.95937,             0.97197,             0.97882,             0.91836,           0.0078892,            0.011835,          0.00018213,             0.00655,             0.00655,             0.00655
                 117,            0.018981,            0.020585,          0.00064249,             0.96159,              0.9707,             0.97885,             0.91835,           0.0078612,            0.011813,          0.00018281,             0.00652,             0.00652,             0.00652
                 118,            0.019007,            0.020709,          0.00064242,             0.96115,             0.96978,             0.97818,             0.91874,           0.0078634,            0.011805,          0.00018294,             0.00649,             0.00649,             0.00649
                 119,            0.019038,            0.021049,          0.00067563,              0.9615,              0.9697,             0.97808,             0.91868,           0.0078543,            0.011781,          0.00018317,             0.00646,             0.00646,             0.00646
